instrument,signal_time,entry_time,direction,entry_price,exit_time,exit_price,r_outcome,reason,stop_dist,atr,win1
6E,2018-12-06 07:00:00+00:00,2018-12-06 11:00:00+00:00,1,1.2687500000000005,2018-12-06 11:00:00+00:00,1.275350000000001,4.0,hard_tp4R,0.0016500000000001513,0.0028094766204866417,1
6E,2018-12-10 19:00:00+00:00,2018-12-10 23:00:00+00:00,1,1.2707000000000002,2018-12-10 23:00:00+00:00,1.2707000400000001,4.0,hard_tp4R,1e-08,0.0033434708069417537,1
6E,2018-12-10 23:00:00+00:00,2018-12-11 03:00:00+00:00,1,1.2721500000000003,2018-12-11 03:00:00+00:00,1.2717000000000005,-1.0,ambig_stop,0.0004499999999998394,0.0032260800350173294,0
6E,2018-12-14 15:00:00+00:00,2018-12-14 19:00:00+00:00,1,1.2657000000000005,2018-12-14 19:00:00+00:00,1.2657000400000005,4.0,hard_tp4R,1e-08,0.0030411891198042816,1
6E,2018-12-20 19:00:00+00:00,2018-12-20 23:00:00+00:00,-1,1.2795500000000002,2018-12-24 11:00:00+00:00,1.2755500000000002,1.0,stop,0.0040000000000000036,0.003603209314577356,1
6E,2018-12-28 11:00:00+00:00,2018-12-28 15:00:00+00:00,-1,1.2789,2018-12-28 15:00:00+00:00,1.27889996,4.0,hard_tp4R,1e-08,0.003438051756556025,1
6E,2019-01-02 07:00:00+00:00,2019-01-02 11:00:00+00:00,-1,1.2768500000000005,2019-01-03 03:00:00+00:00,1.26905,2.0,stop,0.0039000000000002366,0.003531344448904082,1
6E,2019-01-02 19:00:00+00:00,2019-01-02 23:00:00+00:00,1,1.26805,2019-01-02 23:00:00+00:00,1.2680500399999999,4.0,hard_tp4R,1e-08,0.0037854641961524147,1
6E,2019-01-17 07:00:00+00:00,2019-01-17 11:00:00+00:00,1,1.2715000000000003,2019-01-17 15:00:00+00:00,1.2697000000000005,-1.0,stop,0.0017999999999998018,0.002693021513013146,0
6E,2019-01-17 15:00:00+00:00,2019-01-17 19:00:00+00:00,1,1.2696500000000002,2019-01-17 19:00:00+00:00,1.2696500400000001,4.0,hard_tp4R,1e-08,0.0026529114066286916,1
6E,2019-01-18 19:00:00+00:00,2019-01-20 23:00:00+00:00,1,1.2679000000000002,2019-01-20 23:00:00+00:00,1.2679000400000002,4.0,hard_tp4R,1e-08,0.002404296677191723,1
6E,2019-01-24 19:00:00+00:00,2019-01-24 23:00:00+00:00,1,1.2612500000000002,2019-01-24 23:00:00+00:00,1.2612500400000002,4.0,hard_tp4R,1e-08,0.002862761677738982,1
6E,2019-01-27 23:00:00+00:00,2019-01-28 03:00:00+00:00,-1,1.27215,2019-01-28 03:00:00+00:00,1.27214996,4.0,hard_tp4R,1e-08,0.002725505317635205,1
6E,2019-01-28 03:00:00+00:00,2019-01-28 07:00:00+00:00,-1,1.2716500000000002,2019-01-28 07:00:00+00:00,1.2716499600000002,4.0,hard_tp4R,1e-08,0.0026986835092327115,1
6E,2019-01-28 15:00:00+00:00,2019-01-28 19:00:00+00:00,-1,1.2742500000000003,2019-01-28 19:00:00+00:00,1.2742499600000003,4.0,hard_tp4R,1e-08,0.0026581478388425996,1
